questionid,zone_name,diffrank,catname,question,answer1,answer2,answer3,right,response
354183,Entertainment,1,Transformers (2007),"The 2007 movie ""Transformers"" is based on a vintage line of what?",Clothes,Potato Chips,Crayons,Toys,"The director of ""Transformers"" was Michael Bay, who also directed the film ""Pearl Harbor""."
376876,Entertainment,1,Breach (2007),"In the 2007 film ""Breach"", what religion does FBI agent Robert Hanssen follow?",Protestantism,Judaism,Islam,Catholicism,"The 2007 film ""Breach"" was actually shot in Arlington, Virginia, the home base for the FBI."
401743,Entertainment,1,Juno (2007),"Mark, the potential adoptive father in ""Juno"", does what for a living?",State Senator,Designs Toys,White Water Tour Guide,Writes Commercial Jingles,"Mark writes commercial jingles, but tells Juno that he always wanted to be a rock star in the 2007 film ""Juno""."
401744,Entertainment,1,Juno (2007),"In the 2007 movie ""Juno"", Juno's telephone is shaped liked what item?",Football,Race Car,Castle,Hamburger,"Juno uses her hamburger telephone to call an abortion clinic in the movie ""Juno""."
401765,Entertainment,1,21 (2008),"What game do the M.I.T. students play to win in the movie ""21""?",Roulette,Poker,Craps,Blackjack,"In ""21"", the M.I.T. students learn how to count cards, using hand signals and codes."
401766,Entertainment,1,21 (2008),"Where does Ben Campbell hide most of his cash in the movie ""21""?",At The Marina,Under His Mattress,In The Freezer,In The Ceiling,"Laurence Fishburne plays a security guard who has Ben Campbell under surveillance in the movie ""21""."
401818,Entertainment,1,Jumper (2008),"Samuel L. Jackson sports what color hair in ""Jumper""?",Orange,Green,Purple,White,"Samuel L. Jackson plays a ""Paladin"" hunting David Rice in ""Jumper""."
401833,Entertainment,1,Step Up 2: The Streets (2008),"Andie is part of what dance crew in ""Step Up 2: The Streets""?",Crunch It,Stomp Fiends,Baltimore Phillies,410 Crew,"Andie and her 410 Crew do step dance routines on the subway in ""Step Up 2: The Streets""."
726,Entertainment,3,Drama Movies,"In ""Body Heat"", what is the true identity of Kathleen Turner's character?",Matty Tyler Walker,Joanie Moore,Heather Racine,Mary Ann Simpson,"A key plot point of ""Body Heat"" hinges on the resemblance of Kim Zimmer to Kathleen Turner."
46989,Entertainment,2,Comedy Movies,"In the movie ""Turner and Hooch"", what breed of dog was Hooch?",Dogo Argentino,Belgian Mastiff,Bullmastiff,Dogue De Bordeaux,The Dogue de Bordeaux is also known as the French mastiff.
88402,Entertainment,2,Drama Movies,"In which city was the film ""The Elephant Man"" set?",New York,Paris,Rome,London,"Mel Brooks hired David Lynch to direct the film ""The Elephant Man"" because he admired Lynch's work in ""Eraserhead""."
88407,Entertainment,2,Movies,"Who played James Bond in ""For Your Eyes Only""?",David Niven,Sean Connery,Pierce Brosnan,Roger Moore,"Roger Moore's first James Bond movie was ""Live And Let Die""."
88511,Entertainment,3,Drama Movies,What award winning film did Jane Fonda play Sally Hyde?,On Golden Pond,Klute,Barbarella,Coming Home,"Jane Fonda starred with Bruce Dern and Jon Voight in ""Coming Home""."
99967,Entertainment,1,Action/Adventure Movies,In which 2000 movie did Crispin Glover play a character called the Thin Man?,Kate & Leopold,Big Trouble,40 Days And 40 Nights,Charlie's Angels,The Thin Man was the name of an Academy Award-nominated 1934 film starring William Powell and Myrna Loy.
99988,Entertainment,1,Drama Movies,In which 2000 movie did Gary Sinise play the character Jim McConnell?,Pearl Harbor,Hearts In Atlantis,A Walk To Remember,Mission To Mars,Actor Gary Sinise is one of the 3 founders of Chicago's Steppenwolf Theatre Company.
223314,Entertainment,3,Drama Movies,"What talk-show host played himself in the 1993 movie ""Dave""?",Phil Donahue,Jay Leno,Dave Letterman,Larry King,"Both Larry King and Ben Stein played themselves in the 1993 political comedy ""Dave""."
250389,Entertainment,2,Drama Movies,"Who stars as Pauline Parker in ""Heavenly Creatures""?",Kate Winslet,Sandra Bullock,Cameron Diaz,Melanie Lynskey,"Heavenly Creatures is based on a real-life murder that occurred in Christchurch, New Zealand, in 1954."
254194,Entertainment,1,Comedy Movies,Be Cool is a sequel to which film?,Michael,Pulp Fiction,Grease,Get Shorty,"Be Cool was Robert Pastorelli's final performance, as he died of an overdose during production. "
254476,Entertainment,3,Drama Movies,Dustin Hoffman lost the tip of a finger during production for what movie?,Meet The Parents,The Princess Diaries 2,Hitch,Finding Neverland,"Dustin Hoffman, who played Charles Frohman in 2004's ""Finding Neverland"", won an Oscar for his role in the 1982 comedy ""Tootsie""."
265733,Entertainment,3,Drama Movies,"What actor played Stacy in ""Lords of Dogtown""?",Michael Angarano,Ice Cube,Ja Rule,John Robinson,"This was Mitch Hedburg's last role, he died of a drug overdose 3 months prior to the movie's release."
475353,Entertainment,1,Movies 2011 Teens,"Who plays Captain America in ""Captain America: The First Avenger""?",Tommy Lee Jones,Stanley Tucci,Samuel L. Jackson,Chris Evans,"Chris Evans previously played the Marvel Comics superhero the Human Torch in the 2005 and 2007 ""Fantastic Four"" films."
504764,Entertainment,2,Movies 2013-2014,What film's plot is about four best friends in their late sixties have a bachelor party?,Carrie,Don Jon,Sunshine on Leith,Last Vegas,"The tagline for the 2013 comedy film ""Last Vegas"" is ""It's going to be legendary""."
504811,Entertainment,1,Movies 2013-2014,"Who was the director for the Action Comedy film ""Machete Kills""?",Christopher Nolan,Jane Arden,Ralph Bakshi,Robert Rodriguez,"Machete Kills is a sequel to 2010's ""Machete"", an expansion of a fake trailer that was included in the 2007 ""Grindhouse"" double-feature."
66382,Entertainment,3,Movies,What was Johnny Depp's directorial debut?,Boys,The Nick Of Time,The Rock,The Brave,"Johnny Depp starred in and directed ""The Brave"", a 1997 movie about snuff films."
68488,Entertainment,2,Movies,"What Oscar-nominated director edited the ultimate hippie documentary, ""Woodstock""?",Steven Spielberg,Joe Dante,George Lucas,Martin Scorsese,"The film ""Woodstock"" was released March 26, 1970."
223298,Entertainment,1,Movies,"What movie is the line ""I'll make him an offer he can't refuse"" from?",Goodfellas,The Godfather II,The Godfather III,The Godfather,"Mario Puzo wrote both the novel and screenplay for ""The Godfather""."
7377,Entertainment,2,Nirvana,What band was Dave Grohl in before Nirvana?,Disaster Crew,Blood Circus,Foo Fighters,Scream,The Foo Fighters are named for a UFO.
42199,Entertainment,1,Red Hot Chili Peppers,Who was the first guitarist for the Red Hot Chili Peppers?,Dave Mustaine,Anthony Kiedis,John Frasciatore,Hillel Slovak,"Hillel Slovak was the first guitarist, but then died of a heroin overdose."
156031,Entertainment,1,U2,"What decade is the hit single ""Mysterious Ways"" by U2 from?",Eighties,2000's,Seventies,Nineties,"The Edge married Morleigh Steinberg, one of the live belly dancers that accompanied the playing of ""Mysterious Ways"" during the Zoo TV Tour."
307974,Entertainment,2,Crowded House,What was the title of Crowded House's first hit single?,Something So Strong,World Where You Live,Fall At Your Feet,Don't Dream It's Over,"Crowded House's ""Don't Dream It's Over"" went to #2 on the U.S. Charts in 1986."
311431,Entertainment,3,Foo Fighters,On what holiday was the Foo Fighters' debut album released?,Christmas Day,Halloween,May Day,Independence Day,The Foo Fighters' debut album reached #2 in the U.K. and #3 in New Zealand.
311517,Entertainment,3,Violent Femmes,"What Violent Femmes song was featured in the documentary ""Supersize Me""?",Add It Up,Gone Daddy Gone,Kiss Off,Fat,"The documentary ""Supersize Me"" tracks the health of a man who eats only at McDonald's."
311962,Entertainment,3,Nine Inch Nails,What 2004 movie did Nine Inch Nails' Trent Reznor serve as music consultant for?,Under Siege,Alien Attack,Half Past Dead,Man On Fire,"Denzel Washington stars in the 2004 movie ""Man on Fire"" as a burned-out former CIA agent, now a bodyguard."
312262,Entertainment,1,The White Stripes,What was the biggest hit from the White Stripes' 2002 release on the V2 label?,Love Is Truth,What I'm Looking For,Hot Sauce and Ketchup,Fell in Love with a Girl,"The ""Fell in Love with a Girl"" video won three MTV Awards for the White Stripes, including Best Special Effects."
312463,Entertainment,1,The White Stripes,What White Stripes song reached #3 in Italy after a 2006 World Cup victory?,Candy Shop,Rock This Town,That's Amore,Seven Nation Army,"The faux-bass riff on the White Stripes' ""Seven Nation Army"" was created with a semi-acoustic guitar and a whammy pedal."
312494,Entertainment,1,Weezer,"What is the official name of Weezer's ""Green Album""?",Summertime,Half Pipe,All You Need Is Love,Weezer,"The first and third Weezer albums are both titled ""Weezer"", so fans call them the ""Blue Album"" and the ""Green Album""."
314272,Entertainment,2,Cake,Who is the lead singer of Cake?,Vince DiFiore,Xan McCurdy,Greg Brown,John McCrea,Eleven people have been members of Cake between 1994 and 2006.
317027,Entertainment,1,Social Distortion,"What Social Distortion song has the lyric ""A broken nose and a broken heart""?",She's A Knockout,Prison Bound,No Pain No Gain,Ball And Chain,"Social Distortion's song ""Ball and Chain"" reached #13 on the Billboard Modern Rock Tracks chart in 1990."
317537,Entertainment,3,Sublime,"What was the original name of the album self-titled ""Sublime""?",Make It Happen,Junkin' It Now,Punk It Good,Killin' It,"The original title ""Killin' It"" was changed to a self-titled album after the death of Sublime's lead singer Brad Nowell."
318523,Entertainment,2,Soul Asylum,"In 1994, Soul Asylum's Dave Pirner had a role in what movie?",Clerks,Threesome,Single White Female,Reality Bites,"In the movie ""Reality Bites"", the character played by Soul Asylum's Dave Pirner was named Phineas."
318563,Entertainment,1,Breaking Benjamin,"Which Breaking Benjamin song begins ""The day has come to an end""?",Rain,So Cold,Blow Me Away,Polyamorous,"Breaking Benjamin's ""Polyamorous"" was released in 2002 on the ""Saturate"" album."
215528,Entertainment,2,U2,"Which U2 song is not on the ""Unforgettable Fire"" album?",The Unforgettable Fire,Bad,A Sort Of Homecoming,New Year's Day,"The title of the U2 album ""The Unforgettable Fire"" was taken from an exhibition of paintings by atomic-bomb survivors."
168635,Entertainment,2,Mary J. Blige,"What year did Mary J. Blige have the hit single ""Real Love"" on Uptown?",2007,2004,1999,1992,Real Love was the second single off Mary J. Blige's debut album.
192568,Entertainment,2,Jennifer Lopez,"Which artist released the CD titled ""On The 6""?",Whitney Houston,Tina Turner,Janet Jackson,Jennifer Lopez,"J-Lo acted and starred in the sci-fi thriller, ""The Cell""."
315099,Entertainment,2,Sade,In what African country was Sade born?,Ghana,South Africa,Egypt,Nigeria,"Sade was born in Ibadan, Nigeria in 1959."
315722,Entertainment,3,Tina Turner,What album did Tina Turner release in 1996?,Acid Queen,Love Explosion,Twenty Four Seven,Wildest Dreams,In Your Wildest Dreams was a duet with Tina Turner and Barry White.
338698,Entertainment,1,Jennifer Lopez,Jennifer Lopez began her career as a dancer for which sketch comedy show?,Saturday Night Live,Fridays,Mad TV,In Living Color,"Jennifer Lopez released ""Rebirth"" in 2005."
400558,Entertainment,1,Joss Stone,What was the title of Joss Stone's full-length debut album?,Heart & Soul,Clean Soul,The Soul Sessions Part II,"Mind, Body & Soul","The Joss Stone album ""Mind, Body & Soul"" was released by S-Curve Records in 2004."
302420,Entertainment,1,Bon Jovi,Which member of Bon Jovi was married to Heather Locklear?,Tico Torres,David Bryan,Jon Bon Jovi,Richie Sambora,Bon Jovi's Richie Sambora dated Cher in the late 80's and early 90's.
306197,Entertainment,1,Bob Seger,"What Bob Seger song is in the movie ""Risky Business""?",We've Got Tonight,Hollywood Nights,Still The Same,Old Time Rock & Roll,"Old Time Rock & Roll is the song in the scene where Tom Cruise dances in his underwear in ""Risky Business""."
314472,Entertainment,1,Taylor Dayne,What was Taylor Dayne's first hit pop single?,Heart Of Stone,Say A Prayer,Prove Your Love,Tell It To My Heart,Tell It to My Heart prompted Arista Records to sign Taylor Dayne.
316074,Entertainment,2,Sophie B. Hawkins,What does the B. in Sophie B. Hawkins stand for?,Beatrice,Beth,Benevolent,Ballantine,"Sophie B. Hawkins was born in Manhattan, New York City in 1967."
77,Entertainment,2,The Doors,The Doors' Jim Morrison died in Paris at what age?,21,32,44,27,"Val Kilmer played Jim Morrison in the Oliver Stone movie ""The Doors""."
14584,Entertainment,1,Classic Rock Music,"Which famous rock star was killed in New York City on December 8, 1980?",Elvis Presley,Andy Gibb,Buddy Holly,John Lennon,"John Lennon was shot 6 times on December 8, 1980 by Mark Chapman."
29894,Entertainment,2,Aerosmith,What Aerosmith song was the band's very first number one hit?,Pink,Sweet Emotion,Walk This Way,I Don't Want To Miss A Thing,"Don't Want To Miss A Thing is from the movie ""Armaggeddon""."
47377,Entertainment,2,The Beatles,What is the title of Russia's first official Beatles release?,Paperback Writer,Back In The U.S.S.R.,Yesterday,Let It Be,Let It Be was released in Russia in 1972 on the Melodia Label.
90459,Entertainment,1,The Beatles,"Which Beatles obsessed band had a smash hit with ""My Sharona""?",The Romantics,Oasis,London Suede,The Knack,"The Knack's founding members were Doug Fieger, Berton Averre, Bruce Gary and Prescott Niles."
159551,Entertainment,1,Classic Rock Music,"Who recorded the hit single ""Lonely Ol' Night"" in 1985?",Elton John,Dr. John,John Lennon,John Cougar Mellencamp,"When he was 17, John Cougar Mellencamp eloped with Priscilla Esterline, his pregnant girlfriend."
159552,Entertainment,1,Classic Rock Music,"Who recorded the hit single ""What About Love"" in 1985?",Searchers,Carpenters,Dr. Hook,Heart,Sisters Ann and Nancy Wilson are Heart.
305258,Entertainment,3,The Doobie Brothers,"Bill Payne, who played keyboard for the Doobie Brothers, came from which band?",Jefferson Airplane,Canned Heat,Stone Poneys,Little Feat,Bill Payne of Little Feat recorded keyboard tracks on many of the Doobie Brothers' studio recordings.
305583,Entertainment,3,AC/DC,What is the name of AC/DC's 11th album?,Flick Of The Switch,Back In Black,For Those About To Rock,Fly On The Wall,"On June 28, 1985 AC/DC releases ""Fly On The Wall""."
305842,Entertainment,3,AC/DC,What was the name of the first Australian town AC/DC's Bon Scott lived in?,Fremantle,Melbourne,Sydney,Sunshine,"AC/DC's Bon Scott initially lived in Sunshine, but in 1956 he moved to Fremantle."
306679,Entertainment,1,Green Day,What is the name of Billie Joe Armstrong's own record label?,Green Day Records,Dookie Records,Adrienne Records,Adeline Records,"Pinhead Gunpowder, another band Billie Joe Armstrong plays for, is signed under Adeline Records."
306852,Entertainment,3,Journey,How old was Neal Schon when Santana asked him to join the group?,Seventeen,Ninteen,Twenty-One,Fifteen,"Eric Clapton asked Neal Schon to join Derek and the Dominos, but Schon turned him down to play for Santana."
310948,Entertainment,1,Traveling Wilburys,Which member of the Traveling Wilburys was not on their second album?,Bob Dylan,Jeff Lynne,Tom Petty,Roy Orbison,Roy Orbison passed away of a heart attack before the Traveling Wilburys' second album.
161047,Entertainment,1,Country Music,"Who recorded the hit single ""What About Now"" in 2000?",Michael Bolton,New Kids On The Block,Lionel Richie,Lonestar,"Lonestar made a cameo appearance on the soap opera ""Days of Our Lives"" in 2004."
265,Entertainment,2,Music,The Replacements are a band from which city?,New York City,Athens,London,Minneapolis,The Replacements featured Paul Westerberg.
160865,Entertainment,2,Pop Music,"Who recorded the hit single ""Genie In A Bottle"" in 1999?",Stevie Wonder,Dion,Peabo Bryson & Roberta Flack,Christina Aguilera,Christina Aguilera put out a Spanish-language album to grow her fan base.
192490,Entertainment,1,Music,"Who performed the song ""With Or Without You"" on their album ""The Joshua Tree""?",Nirvana,Trixter,Bon Jovi,U2,"The birth name of Bono, U2's front man and lead singer, is Paul David Hewson."
232418,Entertainment,1,R & B,Who won the 2004 Soul Train Award for Best R&B/Soul Single - Female?,"Beyonce, Featuring Jay-Z",Erykah Badu,Ashanti,Alicia Keys,"Alicia Keys won the award for ""You Don't Know My Name""."
255909,Entertainment,2,Music,"What artist released the song ""Earthquake Weather""?",3 Doors Down,Aimee Mann,Corrosion Of Conformity,Beck,"Beck made a brief voice appearance in the animated feature film, ""The Rugrats Movie""."
475339,Entertainment,1,Music 2011,"Who had a hit with the tune ""S&M""?",Wiz Khalifa,Adele,Tinie Tempah,Rihanna,"Rihanna's single ""S&M"" samples the synthesizer line from Depeche Mode's 1984 song ""Master and Servant"""
487266,Entertainment,2,Pop Music,"In 2012, Kelly Clarkson's ""Stronger"" was featured in an ad for which model of car?",Kia Sorrento,Dodge Dakota,Audi A4,Toyota Camry,"Kelly Clarkson was the first season winner of ""American Idol""."
487273,Entertainment,2,Pop Music,I Won't Give Up was Jason Mraz's first single from which 2012 album?,Hate is a Four Letter Word,Rich is a Four Letter Word,Poor is a Four Letter Word,Love is a Four Letter Word,"Jason Mraz's ""I Won't Give Up"" reached the number 3 position on the national charts of both Poland and Holland."
503148,Entertainment,2,2013 Music,"Who released the hit LP ""The Devil Put Dinosaurs Here""?",OneRepublic,tobyMac,Jason Aldean,Alice In Chains,"The tracks ""Hollow"", ""Stone"" and ""Voices"" were released as singles to promote the 2013 Alice in Chains album ""The Devil Put Dinosaurs Here""."
503241,Entertainment,2,2013 Music,The Other Side is a 2013 song released by which artist?,U2,Drake,Rage Against The Machine,Jason Derulo,"The Other Side was released as the lead single from Jason Derulo's 2013 third studio album ""Tattoos"". "
508054,Entertainment,2,2013 Music,"Which alt rock band that had a massive hit with ""Tubthumping"" disbanded in 2012?",Jet,INXS,A Static Lullaby,Chumbawamba,"Chumbawamba's biggest chart hit ""Tubthumping"", informally known by its prominent lyric ""I Get Knocked Down"", was released in August 1997."
508064,Entertainment,3,2013 Music,"What 2013 single by the Arctic Monkeys begins ""Have you got color in your cheeks?""",R U Mine?,One For the Road,Arabella,Do I Wanna Know,"The Arctic Monkeys played the 2013 single ""Do I Wanna Know?"" as the opening number throughout the AM Tour. "
7279,Entertainment,2,New Rock Music,What was the middle name of Nirvana's Kurt Cobain?,Dale,Daniel,David,Donald,Frances Bean Cobain is the daughter of Nirvana's Kurt Cobain and Courtney Love.
18084,Entertainment,3,Metallica,"What singer did Metallica invite into the band after ""Kill Em All""?",Tom Araya,Ozzy Osbourne,Dave Mustaine,John Bush,"John Bush, who is now in Anthrax and was in Armored Saint at the time, rejected the offer to join Metallica."
92109,Entertainment,2,Dave Matthews Band,What is the name of Dave Matthews' wife?,Marie Ashley,Maggie Ashley,Rebecca Ashley,Jennifer Ashley,"The first release in the Dave Matthews Band series of live albums was ""Live at Luther College""."
256022,Entertainment,2,New Rock Music,"Who released the song ""Metal Heart""?",Jimmy Buffett,Green Day,Gwen Stefani,Garbage,"Garbage's newest album, ""Bleed Like Me"", was released on April 11, 2005."
313137,Entertainment,2,Metallica,Former Metallica bassist Jason Newsted joined what heavy metal group in 2002?,Anthrax,Slipknot,E-Force,Voivod,"Voivod is a heavy metal band from Quebec, Canada that was formed in 1982."
317759,Entertainment,1,Queens of the Stone Age,In which Queens Of The Stone Age video does the band run over a deer?,Skin On Skin,In My Head,You Would Know,No One Knows,"In the Queens Of The Stone Age video for ""No One Knows"", the band runs over a deer which then takes revenge on them."
318559,Entertainment,1,Staind,Staind went on tour in 2003 to promote what new album?,Chapter 11,Victory,Shiner,14 Shades Of Grey,"Staind's 2003 album ""14 Shades of Grey"" debuted at #1 on the Billboard 200."
518587,Entertainment,1,Modern Rock 2014,"What song besides ""Cold Night"" became a hit for You Me at Six in 2014?",Room to Grow,Room to Laugh,Room to Fly,Room to Breathe,"The singles ""Cold Night"" and ""Room to Breathe"" are off You Me at Six's fourth full length album ""Cavalier Youth""."
518592,Entertainment,1,Modern Rock 2014,Which song by Lorde reached the top 10 on the Billboard Hot Rock chart in 2014?,Red Flicker Beat,Blue Flicker Beat,Green Flicker Beat,Yellow Flicker Beat,"Lorde's ""Yellow Flicker Beat"" was written specifically for the soundtrack to the 2014 film ""The Hunger Games: Mockingjay Ã Part 1""."
518599,Entertainment,1,Modern Rock 2014,"Godsmack's hit ""Something Different"" was a follow-up to what title track from their 2014 album?",10hp,100hp,10000hp,1000hp,"Godsmack frontman and songwriter Sully Erna stated in an interview that the song ""1000hp"" was written in approximately one hour."
518607,Entertainment,1,Modern Rock 2014,"Which rock legend had his 10th top 10 album in 2014 with ""Ride Out""?",Bob Dylan,Bruce Springsteen,Greg Allman,Bob Seger,"Released on October 14, 2014, ""Ride Out"" is the 17th studio album by rock singer-songwriter Bob Seger."
9343,Entertainment,3,Madonna,Madonna's self-titled debut was released in what year?,1989,1977,1990,1983,"Madonna's debut was a 1983 Sire records release, even though the singles debuted the previous year."
21845,Entertainment,1,Michael Jackson,Who was Michael Jackson's 2nd wife?,Lenora Cox,Lisa-Marie Presley,Melissa Jones,Debbie Rowe,Deborah Rowe was the nurse of Michael Jackson's dermatologist.
38892,Entertainment,2,98 Degrees,What was 98 Degrees' first single?,Because Of You,The Hardest Thing,Was It Something I Didn't Say,Invisible Man,"Invisible Man was 98 Degrees' first single, although many fans didn't find them until ""Because of You"" was released."
284782,Entertainment,1,Pink,What is Pink's birth name?,Linda Perry,Amanda Redson,Lisa Marino,Alecia Moore,"Alecia Beth Moore, also known as Pink, was born in Pennsylvania in 1979."
304622,Entertainment,2,Sarah McLachlan,Where is Sarah McLachlan's birthplace?,"Victoria, British Columbia","Toronto, Ontario","Edmonton, Alberta","Halifax, Nova Scotia","Sarah McLachlan founded the ""Sarah McLachlan Music Outreach Program"" for inner city children."
306571,Entertainment,3,Billy Joel,What is the name of Billy Joel's father?,Herman Joel,Richard Joel,Joseph Joel,Howard Joel,"Billy Joel's father, Howard Joel, was a survivor of the Jewish Holocaust in Germany."
306829,Entertainment,3,Billy Joel,"Which U.S. President is mentioned in Billy Joel's song ""Streetlife Serenader""?",Nixon,Ford,Kennedy,Eisenhower,"Streetlife Serenader appeared on Billy Joel's ""Streetlife Serenade"" album, which peaked at number 35 on the charts."
307077,Entertainment,1,Sheryl Crow,What type of cancer was Sheryl Crow diagnosed with in 1996?,Lung,Pancreatic,Skin,Breast,Sheryl Crow has two siblings -- both sisters.
308317,Entertainment,2,Norah Jones,What is Norah Jones' birth name?,Norah Allison Jones,Allison Norah Jones,Geethali Allison Norah Jones,Geethali Norah Jones Shankar,"Norah Jones was born Geethali Norah Jones Shankar on March 30, 1979."
309391,Entertainment,2,Don Henley,What was Don Henley's first solo release after leaving The Eagles?,Dirty Laundry,The End Of Innocence,New York Minute,I Can't Stand Still,I Can't Stand Still is the name of both a single and an album by Don Henley.
310765,Entertainment,2,Jet,"Jet's song ""Look What You've Done"" is based on which Beatles song?",Dear Prudence,While My Guitar Gently Weeps,Good Night,Sexy Sadie,Sexy Sadie was written about The Beatles' experience with the Maharishi.
314566,Entertainment,1,No Doubt,What was the name of Gwen Stefani's first solo album?,Tragic Kingdom,OC's Finest,Summertime,Love Angel Music Baby,No Doubt has won four MTV Video Music Awards.
317160,Entertainment,3,Kelly Clarkson,What is the name of Kelly Clarkson's step father?,Jeff Maas,Jeremy Wobig,Chris Terry,Jimmy Taylor,Kelly Clarkson's step father Jimmy Taylor was a construction worker.
